PROV1;锡特卡
PROV1161;沙鲁拉
PROV1162;巴林
PROV1163;卡蒂夫
PROV1164;胡富夫
PROV1165;多哈
PROV1166;马斯喀特
PROV1167;阿布扎比
PROV1168;迪拜
PROV1169;苏哈尔
PROV1170;尼兹瓦
PROV1171;苏尔
PROV1172;杜库姆
PROV1173;穆卡拉
PROV1174;塞拉莱
PROV1175;盖达
PROV1176;贝达
PROV1177;索科特拉岛
PROV1178;萨那
PROV1179;荷台达
PROV1180;泰兹
PROV1181;卡拉干达
PROV1182;古里耶夫
PROV1183;阿克托贝
PROV1184;科克舍套
PROV1185;亚斯
PROV1186;阿拉木图
PROV1187;塞米巴拉金斯克
PROV1188;卡拉塔尔
PROV1189;比什凯克
PROV1190;纳伦
PROV1191;希瓦
PROV1192;努库斯
PROV1193;克孜勒奥尔达
PROV1194;阿克陶
PROV1195;塔什干
PROV1196;达什霍乌兹
PROV1197;奇姆肯特
PROV1198;布哈拉
PROV1199;撒马尔罕
PROV1200;卡尔什
PROV1201;霍詹德
PROV1202;浩罕
PROV1203;奥什
PROV1204;阿什哈巴德
PROV1205;克孜勒·阿尔瓦特
PROV1206;梅尔夫
PROV1207;库洛布
PROV1208;霍鲁格
PROV1209;喀布尔
PROV1210;法扎巴德
PROV1211;巴尔赫
PROV1212;赫拉特
PROV1213;巴米扬
PROV1214;法拉
PROV1215;坎大哈
PROV1216;贾拉拉巴德
PROV1217;加兹尼
PROV1218;白沙瓦
PROV1219;奎达
PROV1220;达尔班丁
PROV1221;卡拉特
PROV1222;贝拉
PROV1223;吉特拉尔
PROV1224;斯利那加
PROV1225;吉尔吉特
PROV1226;列城
PROV1227;拉合尔
PROV1228;木尔坦
PROV1229;锡亚尔科特
PROV1230;阿托克
PROV1231;巴哈瓦尔布尔
PROV1232;沙赫普尔
PROV1233;阿姆利则
PROV1234;菲罗兹布尔
PROV1235;西姆拉
PROV1236;德里
PROV1237;帕尼帕特
PROV1238;德拉敦
PROV1239;密拉特
PROV1240;阿格拉
PROV1241;坎波尔
PROV1242;勒克瑙
PROV1243;阿拉哈巴德
PROV1244;菲扎巴德
PROV1245;贝拿勒斯
PROV1246;戈勒克布尔
PROV1247;巴特那
PROV1248;伽耶
PROV1249;卡尔斯瓦里
PROV1250;巴加尔布尔
PROV1251;加尔各答
PROV1252;大吉岭
PROV1253;巴德万
PROV1254;达卡
PROV1255;拉杰沙希
PROV1256;杰索尔
PROV1257;吉大港
PROV1258;高哈蒂
PROV1259;因帕尔
PROV1260;迪布鲁加尔
PROV1261;克塔克
PROV1262;科恩贾尔
PROV1263;桑巴尔普尔
PROV1264;阿杰梅尔
PROV1265;斋沙默尔
PROV1266;焦特布尔
PROV1267;比卡内尔
PROV1268;斋浦尔
PROV1269;乌代布尔
PROV1270;瓜廖尔
PROV1271;印多尔
PROV1272;博帕尔
PROV1273;恰塔尔布尔
PROV1274;雷瓦
PROV1275;朱布尔普尔
PROV1276;霍尚加巴德
PROV1277;那格浦尔
PROV1278;阿马拉蒂
PROV1279;贾格达尔布尔
PROV1280;赖布尔
PROV1281;比拉斯布尔
PROV1282;莱加尔
PROV1283;海得拉巴
PROV1284;奥兰加巴德
PROV1285;尼扎马巴德
PROV1286;古尔伯加
PROV1287;瓦朗加尔
PROV1288;卡拉奇
PROV1289;苏库尔
PROV1290;乌马科特
PROV1291;艾哈迈达巴德
PROV1292;拉杰果德
PROV1293;曼德维
PROV1294;帕坦
PROV1295;巴罗达
PROV1296;苏拉特
PROV1297;孟买
PROV1298;纳西克
PROV1299;浦那
PROV1300;比贾普尔
PROV1301;科尔哈布尔
PROV1302;贝尔高姆
PROV1303;果阿
PROV1304;马德拉斯
PROV1305;维扎加帕特南
PROV1306;马苏利帕特南
PROV1307;内洛尔
PROV1308;库努尔
PROV1309;坦焦雷
PROV1310;马杜赖
PROV1311;哥印拜陀
PROV1312;本地治里
PROV1313;班加罗尔
PROV1314;迈索尔
PROV1315;奇塔德鲁格
PROV1316;门格洛尔
PROV1317;卡利卡特
PROV1318;科钦
PROV1319;特里凡得琅
PROV1320;安达曼群岛
PROV1321;科伦坡
PROV1322;贾夫纳
PROV1323;康提
PROV1324;亭可马里
PROV1325;马尔代夫
PROV1326;加德满都
PROV1327;朱姆拉
PROV1328;通隆
PROV1329;廷布
PROV1330;仰光
PROV1331;勃生
PROV1332;勃固
PROV1333;东湖
PROV1334;艾娃
PROV1335;觉色
PROV1336;马格威
PROV1337;普罗梅
PROV1338;东枝
PROV1339;战舞
PROV1340;腊戍
PROV1341;葡萄
PROV1342;密支那
PROV1343;毛淡棉
PROV1344;梅尔吉
PROV1345;实兑
PROV1346;曼谷
PROV1347;华富里府
PROV1348;那空沙旺
PROV1349;素可泰
PROV1350;呵叻
PROV1351;巴真府
PROV1352;普吉岛
PROV1353;叻丕府
PROV1354;那空是贪玛叻
PROV1355;清迈
PROV1356;琅勃拉邦
PROV1357;万象
PROV1358;乌隆他尼
PROV1359;四色菊
PROV1360;香加布利
PROV1361;沙湾拿吉
PROV1362;沙拉湾
PROV1363;巴克切
PROV1364;欧东
PROV1365;尖竹汶府
PROV1366;马德望
PROV1367;贡布
PROV1368;通特伦
PROV1369;河内
PROV1370;海防
PROV1371;高平
PROV1372;山罗
PROV1373;谅山
PROV1374;清化
PROV1375;色调
PROV1376;荣市
PROV1377;图拉内
PROV1378;波来古
PROV1379;归仁
PROV1380;西贡
PROV1381;同归
PROV1382;哈蒂恩
PROV1383;永隆
PROV1384;新加坡
PROV1385;柔佛州新山
PROV1386;马六甲
PROV1387;吉隆坡
PROV1388;槟城
PROV1389;亚罗士打
PROV1390;关丹
PROV1391;哥打巴鲁
PROV1392;北大年
PROV1393;文莱
PROV1394;古晋
PROV1395;民都鲁
PROV1396;API
PROV1397;山打根
PROV1398;占碑
PROV1399;巨港
PROV1400;因代拉吉里
PROV1401;西亚克
PROV1402;丹戎槟榔
PROV1403;楠榜
PROV1404;巴叻槟榔
PROV1405;班达亚齐
PROV1406;棉兰
PROV1407;塔巴图安
PROV1408;巴东
PROV1409;西博尔加
PROV1410;明古连
PROV1411;西托利山
PROV1412;亚丁
PROV1413;巴达维亚
PROV1414;茂物
PROV1415;井里汶
PROV1416;日惹
PROV1417;三宝垄
PROV1418;泗水
PROV1419;梭罗
PROV1420;庞戈林戈
PROV1421;马都拉
PROV1422;穆拉莱夫
PROV1423;马辰
PROV1424;巴西尔
PROV1425;打拉干
PROV1426;坤甸
PROV1427;哥打瓦林金
PROV1428;新唐
PROV1429;三马林达
PROV1430;望加锡
PROV1431;骨
PROV1432;马穆朱
PROV1433;梅纳多
PROV1434;卢武克
PROV1435;巴鲁
PROV1436;肯达里
PROV1437;布伦
PROV1438;巴厘岛
PROV1439;弗洛雷斯
PROV1440;松巴哇岛
PROV1441;松巴岛
PROV1442;龙目岛
PROV1443;罗蒂
PROV1444;亚罗士打
PROV1445;考彭
PROV1446;帝力
PROV1447;特尔纳特
PROV1448;吉洛洛
PROV1449;安汶
PROV1450;陶瓷
PROV1451;阿鲁
PROV1452;比亚克
PROV1453;索龙
PROV1454;梅拉
PROV1455;马尼拉
PROV1456;维甘
PROV1457;黎牙实比
PROV1458;民都洛岛
PROV1459;巴拉望岛
PROV1460;伊洛伊洛
PROV1461;独鲁班
PROV1462;三宝颜
PROV1463;达沃
PROV1464;苏禄
PROV1465;乌尔加
PROV1466;达兰扎德加德
PROV1467;巴彦图们
PROV1468;乌利亚斯塔伊
PROV1469;克孜勒
PROV1470;安庆
PROV1471;池州
PROV1472;凤阳
PROV1473;惠州
PROV1474;泸州
PROV1475;宁国
PROV1476;泗州
PROV1477;太平
PROV1478;瀛州
PROV1479;奉天
PROV1480;锦州
PROV1481;亚瑟港
PROV1482;福州
PROV1483;建宁
PROV1484;泉州
PROV1485;台北
PROV1486;汀州
PROV1487;漳州
PROV1488;嘉峪关
PROV1489;工场
PROV1490;兰州
PROV1491;宁夏
PROV1492;平凉
PROV1493;广州
PROV1494;潮州
PROV1495;湛江
PROV1496;香港
PROV1497;惠州
PROV1498;澳门
PROV1499;海南
PROV1500;韶州
PROV1501;肇庆
PROV1502;南宁
PROV1503;桂林
PROV1504;平乐
PROV1505;贵阳
PROV1506;安顺
PROV1507;镇远
PROV1508;开封
PROV1509;指导
PROV1510;洛阳
PROV1511;郑州
PROV1512;郴州
PROV1513;南阳
PROV1514;润宁
PROV1515;伟辉
PROV1516;汉阳
PROV1517;院长
PROV1518;黄州
PROV1519;安陆
PROV1520;荆州
PROV1521;市南
PROV1522;武昌
PROV1523;襄阳
PROV1524;长沙
PROV1525;常德
PROV1526;宝庆
PROV1527;衡州
PROV1528;岳州
PROV1529;永顺
PROV1530;永州
PROV1531;新爱尔兰
PROV1532;桂花土默特
PROV1533;吉里姆·楚尔干
PROV1534;乌兰察卜楚尔甘
PROV1535;叶克·尤·楚尔甘
PROV1536;淮安
PROV1537;常州
PROV1538;上海
PROV1539;苏州
PROV1540;太仓州
PROV1541;通州
PROV1542;徐州
PROV1543;扬州
PROV1544;镇江
PROV1545;南昌
PROV1546;广信
PROV1547;健
PROV1548;建昌
PROV1549;九江
PROV1550;赣州
PROV1551;饶州
PROV1552;齐齐哈尔
PROV1553;瑷珲
PROV1554;宁古塔
PROV1555;吉林
PROV1556;马凯
PROV1557;巴勒昆戈米
PROV1558;凯古多
PROV1559;西安
PROV1560;梅劳克
PROV1561;延安
PROV1562;汉中
PROV1563;济南
PROV1564;曹州
PROV1565;莱州
PROV1566;青岛
PROV1567;青州
PROV1568;泰安
PROV1569;威海卫
PROV1570;武定
PROV1571;宜州
PROV1572;太原
PROV1573;汾州
PROV1574;六安
PROV1575;平阳
PROV1576;大同
PROV1577;重庆
PROV1578;成都
PROV1579;宝东
PROV1580;嘉定
PROV1581;夔州
PROV1582;龙眼
PROV1583;顺庆
PROV1584;铜川
PROV1585;宜宾
PROV1586;崖州
PROV1587;拉萨
PROV1588;昌都
PROV1589;日喀则
PROV1590;洛扎克
PROV1591;长塘
PROV1592;阿里
PROV1593;达旺
PROV1594;喀什
PROV1595;伊犁
PROV1596;图尔塔
PROV1597;阿克苏
PROV1598;于阗
PROV1599;哈密
PROV1600;迪胡埃
PROV1601;昆明
PROV1602;大理
PROV1603;普洱
PROV1604;杭州
PROV1605;湖州
PROV1606;嘉兴
PROV1607;金华
PROV1608;宁波
PROV1609;绍兴
PROV1610;台州
PROV1611;温州
PROV1612;北京
PROV1613;承德
PROV1614;大明
PROV1615;冀州
PROV1616;唐山
PROV1617;天津
PROV1618;中鼎
PROV1619;平壤
PROV1620;春川
PROV1621;咸兴
PROV1622;清津
PROV1623;金策
PROV1624;汉城
PROV1625;开城
PROV1626;海州
PROV1627;沙里院
PROV1628;仁川
PROV1629;元山
PROV1630;康农
PROV1631;原州
PROV1632;釜山
PROV1633;大邱
PROV1634;浦项
PROV1635;光州
PROV1636;大田
PROV1637;济州岛
PROV1638;广岛
PROV1639;冈山
PROV1640;山口
PROV1641;松江
PROV1642;函馆
PROV1643;石良
PROV1644;根穆鲁
PROV1645;新泻
PROV1646;金泽
PROV1647;福井
PROV1648;富山
PROV1649;江户
PROV1650;千叶
PROV1651;横滨
PROV1652;浦和
PROV1653;水户
PROV1654;博宁
PROV1655;大阪
PROV1656;和歌山
PROV1657;京都
PROV1658;奈良
PROV1659;科比
PROV1660;福冈
PROV1661;长崎
PROV1662;鹿儿岛
PROV1663;宫崎
PROV1664;熊本
PROV1665;高知
PROV1666;松山
PROV1667;德岛
PROV1668;仙台
PROV1669;福岛
PROV1670;盛冈
PROV1671;秋田
PROV1672;青森
PROV1673;山形
PROV1674;宇都宫
PROV1675;名古屋
PROV1676;静冈
PROV1677;长野
PROV1678;冲绳
PROV1679;阿玛瑞
PROV1680;菲斯
PROV1681;瓦赞
PROV1682;梅克内斯
PROV1683;塔扎
PROV1684;乌吉达
PROV1685;拉巴特
PROV1686;丹吉尔
PROV1687;得土安
PROV1688;阿吉迪尔
PROV1689;梅利利亚
PROV1690;马拉喀什
PROV1691;卡萨布兰卡
PROV1692;胡里布卡
PROV1693;萨维拉
PROV1694;阿加迪尔
PROV1695;伊夫尼
PROV1696;塔尔法亚
PROV1697;菲吉格
PROV1698;拉希迪亚
PROV1699;瓦尔扎扎特
PROV1700;阿尔及尔
PROV1701;蜡烛
PROV1702;塞提夫
PROV1703;美狄亚
PROV1704;奥兰
PROV1705;特莱姆森
PROV1706;穆斯塔加尼姆
PROV1707;睫毛膏
PROV1708;康斯坦丁
PROV1709;骨
PROV1710;比斯克拉
PROV1711;瓦尔格拉
PROV1712;图古尔特
PROV1713;拉格瓦特
PROV1714;贝查尔
PROV1715;纳马
PROV1716;廷杜夫
PROV1717;切纳凯内
PROV1718;在萨拉赫
PROV1719;伊利孜
PROV1720;蒂米蒙
PROV1721;位于格扎姆
PROV1722;丁·扎瓦特内
PROV1723;巴尔博亚
PROV1724;塔曼拉塞特
PROV1725;突尼斯
PROV1726;比塞大
PROV1727;加夫萨
PROV1728;凯鲁万
PROV1729;托泽尔
PROV1730;加贝斯
PROV1731;硅藻土
PROV1732;加里安
PROV1733;米苏拉塔
PROV1734;锡尔特
PROV1735;班加西
PROV1736;达纳
PROV1737;托布鲁克
PROV1738;贾格布布
PROV1739;库夫拉
PROV1740;瓦丹
PROV1741;穆尔祖克
PROV1742;萨卜哈
PROV1743;加特
PROV1744;加达米斯
PROV1745;开罗
PROV1746;杜米亚特
PROV1747;坦塔
PROV1748;曼苏拉
PROV1749;齐卡齐克
PROV1750;吉萨
PROV1751;亚历山大港
PROV1752;马特鲁
PROV1753;西迪巴拉尼
PROV1754;西瓦
PROV1755;苏伊士运河
PROV1756;阿里什
PROV1757;沙姆沙伊赫
PROV1758;法拉弗拉
PROV1759;巴维蒂
PROV1760;穆特
PROV1761;巴里斯
PROV1762;艾斯尤特
PROV1763;巴尼苏韦夫
PROV1764;明亚
PROV1765;法尤姆
PROV1766;阿斯旺
PROV1767;卢克索
PROV1768;伊德富
PROV1769;奇娜
PROV1770;古赛尔
PROV1771;阿拉姆港
PROV1772;拉斯加里布
PROV1773;阿云
PROV1774;达赫拉
PROV1775;努瓦克肖特
PROV1776;罗索
PROV1777;一条腿
PROV1778;玛哈玛
PROV1779;欣吉特
PROV1780;提吉特
PROV1781;瓦拉塔
PROV1782;比尔·穆尔海恩
PROV1783;达喀尔
PROV1784;圣路易斯
PROV1785;班珠尔
PROV1786;林盖尔
PROV1787;迪乌贝尔
PROV1788;考拉克
PROV1789;波多尔
PROV1790;马塔姆
PROV1791;巴克尔
PROV1792;济金绍尔
PROV1793;韦林加拉
PROV1794;巴马科
PROV1795;卡耶斯
PROV1796;尼奥罗
PROV1797;北
PROV1798;布古尼
PROV1799;西卡索
PROV1800;塞古
PROV1801;穆尔迪亚
PROV1802;珍妮
PROV1803;廷巴克图
PROV1804;班迪亚加拉
PROV1805;高
PROV1806;陶代尼
PROV1807;泰萨利特
PROV1808;尼亚美
PROV1809;说
PROV1810;多索
PROV1811;马拉迪
PROV1812;阿加德斯
PROV1813;阿尔利特
PROV1814;夫人
PROV1815;津德尔
PROV1816;库费
PROV1817;比尔玛
PROV1818;马森亚
PROV1819;蒙杜
PROV1820;邦戈尔
PROV1821;阿贝歇
PROV1822;安·蒂曼
PROV1823;蒙戈
PROV1824;毛
PROV1825;祖阿尔
PROV1826;法亚
PROV1827;喀土穆
PROV1828;瓦德·马达尼
PROV1829;卡萨拉
PROV1830;森纳尔
PROV1831;拉巴克
PROV1832;法绍达
PROV1833;萨瓦金
PROV1834;哈莱布
PROV1835;栋戈拉
PROV1836;哈亚
PROV1837;阿特巴拉
PROV1838;奥贝德
PROV1839;努胡德
PROV1840;卡杜克利
PROV1841;法希尔
PROV1842;朱奈纳
PROV1843;哇
PROV1844;博尔
PROV1845;延比奥
PROV1846;拉多
PROV1847;卡波埃塔
PROV1848;阿斯马拉
PROV1849;马萨瓦
PROV1850;阿科尔达特
PROV1851;阿萨布
PROV1852;贡德尔
PROV1853;德布雷·塔博尔
PROV1854;马塔马
PROV1855;德布雷·马科斯
PROV1856;阿克苏姆
PROV1857;安塔洛
PROV1858;奥萨
PROV1859;安科贝尔
PROV1860;阿瓦萨
PROV1861;阿塞利亚
PROV1862;邦加
PROV1863;阿索萨
PROV1864;内格勒
PROV1865;哈勒尔
PROV1866;戈巴
PROV1867;云达
PROV1868;摩加迪沙
PROV1869;拜多阿
PROV1870;基斯马尤
PROV1871;霍比奥
PROV1872;博萨索
PROV1873;柏培拉
PROV1874;泽拉
PROV1875;吉布提
PROV1876;佛得角
PROV1877;比绍
PROV1878;加布
PROV1879;博法
PROV1880;廷博
PROV1881;丁吉拉耶
PROV1882;坎坎
PROV1883;贝拉
PROV1884;弗里敦
PROV1885;法拉巴
PROV1886;博
PROV1887;蒙罗维亚
PROV1888;哈珀
PROV1889;波波卢
PROV1890;邦加
PROV1891;绥德鲁
PROV1892;大拉胡
PROV1893;萨珊德拉
PROV1894;大巴萨姆
PROV1895;布阿凯
PROV1896;男人
PROV1897;阿库佩
PROV1898;孔
PROV1899;邦杜库
PROV1900;奥迪安
PROV1901;瓦加杜古
PROV1902;瓦希古亚
PROV1903;多里
PROV1904;法达·恩古尔玛
PROV1905;博博·迪乌拉索
PROV1906;奥罗达罗
PROV1907;阿克拉
PROV1908;海岸角
PROV1909;塞康迪
PROV1910;库马西
PROV1911;金坦波
PROV1912;佤族
PROV1913;塔马利
PROV1914;洛美
PROV1915;何
PROV1916;延迪
PROV1917;阿塔克帕梅
PROV1918;索科德
PROV1919;科托努
PROV1920;阿波美
PROV1921;尼基
PROV1922;巨古
PROV1923;拉各斯
PROV1924;阿贝奥库塔
PROV1925;伊巴丹
PROV1926;伊费
PROV1927;伊洛林
PROV1928;贝宁
PROV1929;阿库雷
PROV1930;洛科贾
PROV1931;瓦里
PROV1932;邦尼
PROV1933;奥卡
PROV1934;卡拉巴尔
PROV1935;阿鲁楚库
PROV1936;马库尔迪
PROV1937;图卡里
PROV1938;布萨
PROV1939;扎里亚
PROV1940;比达
PROV1941;阿布贾
PROV1942;包奇
PROV1943;乔斯
PROV1944;贡贝
PROV1945;卡诺
PROV1946;凯比
PROV1947;卡齐纳
PROV1948;索科托
PROV1949;哈德嘉
PROV1950;约拉
PROV1951;库卡
PROV1952;恩古鲁
PROV1953;迪科阿
PROV1954;圣多美
PROV1955;费尔南多·波
PROV1956;杜阿拉
PROV1957;布埃亚
PROV1958;克里比
PROV1959;雅温得
PROV1960;巴富萨姆
PROV1961;巴门达
PROV1962;贝尔图阿
PROV1963;恩冈代雷
PROV1964;马鲁阿
PROV1965;班吉
PROV1966;诺拉
PROV1967;布阿尔
PROV1968;博桑戈阿
PROV1969;泽米奥
PROV1970;班加苏
PROV1971;恩代莱
PROV1972;利伯维尔
PROV1973;巴塔
PROV1974;马永贝
PROV1975;莫安达
PROV1976;马科库
PROV1977;恩库纳
PROV1978;马丁古
PROV1979;比洛卡
PROV1980;贾巴拉
PROV1981;因丰多
PROV1982;金沙萨
PROV1983;博马
PROV1984;卡南加
PROV1985;昆巴纳
PROV1986;卢桑博
PROV1987;文家
PROV1988;穆松巴
PROV1989;蒙扎
PROV1990;尼扬圭
PROV1991;乌维拉
PROV1992;巴索科
PROV1993;伊雷布
PROV1994;恩生
PROV1995;格梅纳
PROV1996;基桑加尼
PROV1997;芒巴内
PROV1998;巴拉莫
PROV1999;罗安达
PROV2000;卡宾达
PROV2001;姆班扎
PROV2002;基巴拉
PROV2003;本格拉
PROV2004;莫萨梅德斯
PROV2005;万博
PROV2006;奎托
PROV2007;马文加
PROV2008;翁吉瓦
PROV2009;马兰杰
PROV2010;蜥蜴人
PROV2011;库班达
PROV2012;卢萨卡
PROV2013;芒古
PROV2014;卡森巴
PROV2015;蒙佐
PROV2016;卡赞贝
PROV2017;卡塞马
PROV2018;奇帕塔
PROV2019;恩德培
PROV2020;姆巴拉拉
PROV2021;马辛迪
PROV2022;基特古姆
PROV2023;金贾
PROV2024;内罗毕
PROV2025;马萨比特
PROV2026;洛德瓦尔
PROV2027;纳库鲁
PROV2028;基苏木
PROV2029;蒙巴萨
PROV2030;拉穆
PROV2031;瓦吉尔
PROV2032;加里萨
PROV2033;沃伊
PROV2034;基加利
PROV2035;乌松布拉
PROV2036;达累斯萨拉姆
PROV2037;坦噶
PROV2038;基尔瓦
PROV2039;林迪
PROV2040;松盖亚
PROV2041;马萨西
PROV2042;伊林加
PROV2043;塔博拉
PROV2044;姆万扎
PROV2045;莫罗戈罗
PROV2046;宇治治
PROV2047;阿鲁沙
PROV2048;桑给巴尔
PROV2049;洛伦佐·马克斯
PROV2050;柴马特
PROV2051;伊尼扬巴内
PROV2052;马塞凯斯
PROV2053;塞纳
PROV2054;太特
PROV2055;松戈
PROV2056;尊博
PROV2057;索法拉
PROV2058;莫苏里泽
PROV2059;克利马内
PROV2060;莫桑比克
PROV2061;安戈什
PROV2062;商州
PROV2063;伊博
PROV2064;楠普拉
PROV2065;米兰格
PROV2066;松巴
PROV2067;利隆圭
PROV2068;哈拉雷
PROV2069;格韦鲁
PROV2070;穆塔雷
PROV2071;布拉瓦约
PROV2072;万吉
PROV2073;马斯温戈
PROV2074;哈博罗内
PROV2075;塞罗韦
PROV2076;诺卡能
PROV2077;察邦
PROV2078;温得和克
PROV2079;斯瓦科普蒙德
PROV2080;楚梅布
PROV2081;林亚提
PROV2082;奥特吉内内
PROV2083;鲸湾港
PROV2084;安格拉·佩克纳
PROV2085;努古斯
PROV2086;卡拉斯堡
PROV2087;开普敦
PROV2088;跳羚
PROV2089;伍斯特
PROV2090;瑞天咸
PROV2091;莫塞尔湾
PROV2092;博福特
PROV2093;卡尔维尼亚
PROV2094;金伯利
PROV2095;迪卡通
PROV2096;伊丽莎白港
PROV2097;格拉夫·雷内特
PROV2098;美尚
PROV2099;马瑟尔
PROV2100;乌姆塔塔
PROV2101;布隆方丹
PROV2102;温堡
PROV2103;菲利波利斯
PROV2104;塔巴·博修
PROV2105;比勒陀利亚
PROV2106;威特沃特斯兰德
PROV2107;克莱克斯多普
PROV2108;莫塞加
PROV2109;莱登堡
PROV2110;托霍扬杜
PROV2111;德班
PROV2112;莱迪史密斯
PROV2113;乌伦迪
PROV2114;姆巴巴内
PROV2115;塔那那利佛
PROV2116;菲亚纳兰楚阿
PROV2117;安帕尼希
PROV2118;托拉纳罗
PROV2119;图阿马西纳
PROV2120;安齐拉纳纳
PROV2121;马哈赞加
PROV2122;图利亚拉
PROV2123;科摩罗
PROV2124;马约特岛
PROV2125;毛里求斯
PROV2126;波旁酒
PROV2127;塞舌尔
PROV2128;迪戈加西亚岛
PROV2129;圣赫勒拿岛
PROV2130;扬升
PROV2131;福克兰群岛
PROV2132;特里斯坦·达库尼亚
PROV2133;南乔治亚岛
PROV2134;亚速尔群岛
PROV2135;马德拉
PROV2136;加那利群岛
PROV2137;埃莫西约
PROV2138;洛雷托
PROV2139;罗萨里托
PROV2140;诺加莱斯
PROV2141;瓜伊马斯
PROV2142;奇瓦瓦州
PROV2143;北帕索
PROV2144;德利西亚斯
PROV2145;帕拉尔
PROV2146;蒙特雷
PROV2147;莫雷洛斯州
PROV2148;雷诺萨
PROV2149;马塔莫罗斯
PROV2150;维多利亚城
PROV2151;萨尔蒂略
PROV2152;蒙克洛娃
PROV2153;杜兰戈
PROV2154;圣玛丽亚德尔金
PROV2155;托雷翁
PROV2156;马萨特兰
PROV2157;库利亚坎
PROV2158;萨卡特卡斯
PROV2159;圣路易斯波托西
PROV2160;阿瓜斯卡连特斯
PROV2161;特皮克
PROV2162;韦拉克鲁斯
PROV2163;坦皮科
PROV2164;米纳蒂特兰
PROV2165;比亚埃尔莫萨
PROV2166;瓜达拉哈拉
PROV2167;瓜纳华托
PROV2168;巴亚尔塔港
PROV2169;科利马州
PROV2170;莫雷利亚
PROV2171;洛斯阿尔瓦尼斯
PROV2172;墨西哥城
PROV2173;克雷塔罗
PROV2174;托卢卡
PROV2175;图兰辛戈
PROV2176;普埃布拉
PROV2177;瓦哈卡州
PROV2178;科拉塔罗
PROV2179;阿卡普尔科
PROV2180;奇尔潘辛戈
PROV2181;图斯特拉
PROV2182;塔帕丘拉
PROV2183;梅里达
PROV2184;坎佩切
PROV2185;巴卡拉尔
PROV2186;危地马拉
PROV2187;克萨尔特南戈
PROV2188;巴里奥斯港
PROV2189;萨亚什切
PROV2190;伯利兹
PROV2191;圣萨尔瓦多
PROV2192;生力啤酒
PROV2193;科马亚瓜
PROV2194;圣佩德罗苏拉
PROV2195;拉塞瓦
PROV2196;伦皮拉港
PROV2197;马那瓜
PROV2198;里瓦斯
PROV2199;莱昂
PROV2200;布卢菲尔兹
PROV2201;圣荷西
PROV2202;利比里亚
PROV2203;柠檬
PROV2204;巴拿马城
PROV2205;大卫
PROV2206;佩诺诺梅
PROV2207;赛因尚德
PROV2208;亚维扎
PROV2209;哈瓦那
PROV2210;美洲虎
PROV2211;卡马圭
PROV2212;古巴圣地亚哥
PROV2213;太子港
PROV2214;圣多明各
PROV2215;海地角
PROV2216;拉维加
PROV2217;牙买加
PROV2218;开曼群岛
PROV2219;巴哈马
PROV2220;特克斯和凯科斯群岛
PROV2221;南京
PROV2222;波多黎各
PROV2223;圣托马斯
PROV2224;安提瓜岛
PROV2225;蒙特塞拉特
PROV2226;托尔托拉岛
PROV2227;圣基茨
PROV2228;马提尼克岛
PROV2229;巴巴多斯
PROV2230;瓜德罗普岛
PROV2231;圣卢西亚
PROV2232;多米尼加
PROV2233;格林纳达
PROV2234;库拉索
PROV2235;阿鲁巴岛
PROV2236;圣马丁岛
PROV2237;特立尼达
PROV2238;多巴哥
PROV2239;乔治城
PROV2240;帕拉马里博
PROV2241;辣椒
PROV2242;马赫迪耶
PROV2243;埃塞奎博
PROV2244;圣诞岛
PROV2245;阿佩蒂娜
PROV2246;马里帕苏拉
PROV2247;波哥大
PROV2248;伊瓦格
PROV2249;通贾
PROV2250;马尼萨莱斯
PROV2251;库库塔
PROV2252;麦德林
PROV2253;基布多
PROV2254;卡塔赫纳
PROV2255;巴兰基亚
PROV2256;卡利
PROV2257;波帕扬
PROV2258;布埃纳文图拉
PROV2259;帕斯托
PROV2260;圣何塞瓜维亚雷
PROV2261;奥万多
PROV2262;卡萨纳雷
PROV2263;埃尔恩坎托
PROV2264;加拉加斯
PROV2265;瓜纳雷
PROV2266;卡拉博索
PROV2267;库马纳
PROV2268;圣费利佩
PROV2269;古伊里亚
PROV2270;马拉开波
PROV2271;瓦莱拉
PROV2272;科罗
PROV2273;巴基西梅托
PROV2274;巴里纳斯
PROV2275;安戈斯图拉
PROV2276;库里亚波
PROV2277;埃尔乔巴尔
PROV2278;圣费尔南多·德·阿塔巴波
PROV2279;基多
PROV2280;瓜亚基尔
PROV2281;埃斯梅拉达斯
PROV2282;洛哈
PROV2283;萨莫拉
PROV2284;特纳
PROV2285;加拉帕戈斯群岛
PROV2286;伊基托斯
PROV2287;尤里马瓜斯
PROV2288;云科斯
PROV2289;普卡乌尔科
PROV2290;卡哈马卡
PROV2291;皮乌拉
PROV2292;特鲁希略
PROV2293;瓦努科
PROV2294;莫约班巴
PROV2295;利马
PROV2296;万卡韦利卡
PROV2297;伊卡
PROV2298;瓦拉斯
PROV2299;阿亚库乔
PROV2300;普卡尔帕
PROV2301;马尔多纳多港
PROV2302;库斯科
PROV2303;普诺
PROV2304;阿雷基帕
PROV2305;安托法加斯塔
PROV2306;索罗卡巴
PROV2307;伊基克
PROV2308;阿里卡
PROV2309;卡拉马
PROV2310;拉巴斯
PROV2311;科恰班巴
PROV2312;奥鲁罗
PROV2313;丘基萨卡
PROV2314;波托西
PROV2315;塔里哈
PROV2316;圣诞老人
PROV2317;圣伊格纳西奥
